,Title,Genre,Top 3 Protagonists,Male Counts,Female Counts,Unisex Counts,Male Percent,Female Percent,Unisex Percent,F-F Convs,F-U Convs,Contain Male,Dont Contain Male
0,Sunset-Blvd.,Drama,"['f', 'f', 'u']",27,320,71,0.375,0.375,0.25,4,11,4,0
1,"Boxtrolls,-The",Comedy,"['u', 'm', 'm']",34,0,152,0.8,0.0,0.2,0,0,0,0
2,Die-Hard-2,Action,"['m', 'm', 'm']",167,1,45,0.7222222222222222,0.05555555555555555,0.2222222222222222,0,0,0,0
3,Eastern-Promises,Thriller,"['m', 'f', 'f']",194,242,0,0.2222222222222222,0.7777777777777778,0.0,21,0,11,12
4,Schindler's-List,Drama,"['m', 'f', 'm']",83,14,6,0.75,0.125,0.125,0,0,0,0
5,Bad-Country,Drama,"['m', 'u', 'm']",317,3,137,0.65,0.15,0.2,0,0,0,0
6,Frankenstein,Romance,"['m', 'f', 'm']",336,130,4,0.5384615384615384,0.38461538461538464,0.07692307692307693,5,3,2,7
7,Les-Miserables,Drama,"['m', 'f', 'f']",74,42,0,0.5,0.5,0.0,0,0,0,0
8,Blue-Valentine,Drama,"['m', 'f', 'u']",277,266,72,0.2857142857142857,0.35714285714285715,0.35714285714285715,3,14,2,4
9,Gremlins-2,Horror,"['u', 'f', 'm']",78,138,188,0.47368421052631576,0.3684210526315789,0.15789473684210525,6,38,0,6
10,"Siege,-The",Thriller,"['f', 'u', 'u']",17,238,137,0.42857142857142855,0.21428571428571427,0.35714285714285715,0,19,0,0
11,Hard-to-Kill,Romance,"['f', 'u', 'm']",71,156,99,0.6666666666666666,0.19047619047619047,0.14285714285714285,2,26,3,4
12,Highlander,Fantasy,"['f', 'f', 'f']",25,197,0,0.75,0.25,0.0,0,0,0,0
13,No-Country-for-Old-Men,Thriller,"['m', 'f', 'f']",348,227,0,0.6363636363636364,0.36363636363636365,0.0,12,0,8,4
14,Tombstone,Drama,"['m', 'f', 'm']",438,78,80,0.47368421052631576,0.2631578947368421,0.2631578947368421,0,2,0,1
15,Terminator,Thriller,"['f', 'm', 'u']",140,169,20,0.6666666666666666,0.2222222222222222,0.1111111111111111,2,4,2,0
16,"Man-Who-Wasn't-There,-The",Drama,"['m', 'm', 'u']",471,54,54,0.6923076923076923,0.15384615384615385,0.15384615384615385,0,0,0,0
17,"Mask,-The",Crime,"['m', 'f', 'u']",327,144,87,0.5555555555555556,0.2777777777777778,0.16666666666666666,0,0,0,0
18,Ghostbusters,Comedy,"['u', 'm', 'm']",127,13,57,0.6,0.2,0.2,0,0,0,0
19,Frankenstein,Drama,"['m', 'f', 'm']",336,130,4,0.5384615384615384,0.38461538461538464,0.07692307692307693,5,3,2,7
20,RKO-281,Drama,"['u', 'f', 'm']",72,78,78,0.6521739130434783,0.2608695652173913,0.08695652173913043,0,0,0,0
21,"Road,-The",Thriller,"['m', 'm']",17,0,0,1.0,0.0,0.0,0,0,0,0
22,25th-Hour,Crime,[],0,0,0,0.0,0.0,0.0,0,0,0,0
23,Drive-Angry,Crime,"['m', 'f', 'u']",228,153,35,0.5454545454545454,0.2727272727272727,0.18181818181818182,1,4,1,3
24,Fair-Game,Drama,"['f', 'm', 'm']",246,278,35,0.5555555555555556,0.2962962962962963,0.14814814814814814,5,10,4,7
25,True-Romance,Crime,[],0,0,0,0.0,0.0,0.0,0,0,0,0
26,"Departed,-The",Thriller,"['m', 'u', 'u']",246,4,260,0.3333333333333333,0.1111111111111111,0.5555555555555556,0,0,0,0
27,Bad-Day-at-Black-Rock,Western,"['m', 'm', 'u']",226,43,52,0.625,0.125,0.25,0,0,0,0
28,Syriana,Thriller,"['m', 'm', 'm']",309,22,122,0.5217391304347826,0.08695652173913043,0.391304347826087,0,2,0,0
29,Shame,Drama,"['m', 'm', 'f']",414,260,16,0.36363636363636365,0.45454545454545453,0.18181818181818182,0,0,1,0
30,"Bachelor-Party,-The",Drama,"['m', 'u', 'm']",385,52,177,0.4444444444444444,0.2222222222222222,0.3333333333333333,0,1,0,0
31,Moneyball,Drama,"['u', 'm', 'm']",448,78,808,0.7,0.13333333333333333,0.16666666666666666,2,30,0,2
32,"Synecdoche,-New-York",Comedy,"['u', 'u', 'f']",40,179,356,0.42857142857142855,0.3333333333333333,0.23809523809523808,16,4,2,14
33,Light-Sleeper,Drama,"['f', 'm', 'f']",88,206,43,0.45454545454545453,0.2727272727272727,0.2727272727272727,0,4,0,0
34,Eight-Legged-Freaks,Action,"['u', 'u', 'm']",295,41,331,0.6818181818181818,0.13636363636363635,0.18181818181818182,0,8,1,0
35,It,Thriller,"['m', 'm', 'u']",555,99,110,0.6666666666666666,0.20833333333333334,0.125,1,0,0,1
36,30-Minutes-or-Less,Action,"['m', 'm', 'm']",852,44,0,0.8,0.2,0.0,0,0,0,0
37,Cowboys-&-Aliens,Sci-Fi,"['m', 'f', 'm']",250,126,33,0.75,0.1875,0.0625,0,0,0,0
38,Boondock-Saints-2-All-Saints-Day,Thriller,"['f', 'm', 'm']",288,186,43,0.7,0.2,0.1,2,0,0,2
39,Jaws-2,Adventure,"['m', 'm', 'f']",562,158,235,0.42424242424242425,0.24242424242424243,0.3333333333333333,0,5,0,3
40,Batman-Begins,Adventure,[],0,0,0,0.0,0.0,0.0,0,0,0,0
41,Blue-Valentine,Romance,"['m', 'f', 'u']",277,266,72,0.2857142857142857,0.35714285714285715,0.35714285714285715,3,14,2,4
42,"Losers,-The",Thriller,"['m', 'u', 'm']",295,0,77,0.8571428571428571,0.0,0.14285714285714285,0,0,0,0
43,"Saint,-The",Action,"['m', 'f']",2,1,0,0.5,0.5,0.0,0,0,0,0
44,They,Horror,"['m', 'm', 'm']",6,1,0,0.8,0.2,0.0,0,0,0,0
45,Godzilla,Thriller,"['m', 'f', 'm']",345,154,1,0.8181818181818182,0.13636363636363635,0.045454545454545456,11,0,7,4
46,Entrapment,Action,"['m', 'm', 'm']",385,0,0,1.0,0.0,0.0,0,0,0,0
47,Jurassic-Park,Adventure,"['m', 'f', 'u']",223,83,66,0.6,0.26666666666666666,0.13333333333333333,0,0,0,0
48,"Way-Back,-The",Adventure,"['m', 'f', 'm']",131,33,0,0.7142857142857143,0.2857142857142857,0.0,0,0,0,0
49,Rise-of-the-Guardians,Adventure,"['m', 'm', 'u']",433,43,80,0.4166666666666667,0.4166666666666667,0.16666666666666666,0,1,0,1
50,Kill-Bill-Volume-1-&-2,Action,"['u', 'm', 'f']",84,103,174,0.42857142857142855,0.38095238095238093,0.19047619047619047,0,4,0,0
51,Hollow-Man,Sci-Fi,"['f', 'm', 'm']",361,339,48,0.42857142857142855,0.42857142857142855,0.14285714285714285,3,8,9,15
52,American-Graffiti,Drama,"['m', 'u', 'm']",485,178,215,0.5,0.2692307692307692,0.23076923076923078,0,10,0,0
53,Sex-and-the-City,Drama,"['f', 'f', 'f']",128,1093,0,0.4583333333333333,0.5416666666666666,0.0,122,0,45,94
54,Lord-of-the-Rings-The-Two-Towers,Fantasy,"['u', 'u', 'f']",0,4,98,0.0,0.3333333333333333,0.6666666666666666,0,0,0,0
55,My-Week-with-Marilyn,Drama,"['m', 'f', 'm']",705,337,15,0.5217391304347826,0.34782608695652173,0.13043478260869565,4,0,15,7
56,Alien-Nation,Drama,"['m', 'f', 'm']",76,19,0,0.8181818181818182,0.18181818181818182,0.0,0,0,0,0
57,Vanilla-Sky,Romance,"['m', 'f', 'm']",485,195,0,0.5333333333333333,0.4666666666666667,0.0,0,0,1,0
58,Mini's-First-Time,Crime,"['m', 'f', 'm']",237,95,0,0.625,0.375,0.0,0,0,0,0
59,"Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The",Adventure,"['u', 'm', 'u']",24,0,66,0.75,0.0,0.25,0,0,0,0
60,Bonnie-and-Clyde,Crime,"['m', 'f', 'm']",380,231,5,0.7333333333333333,0.2,0.06666666666666667,2,0,2,4
61,Eagle-Eye,Action,"['u', 'f', 'u']",72,162,343,0.6470588235294118,0.17647058823529413,0.17647058823529413,0,48,0,0
62,Star-Wars-The-Phantom-Menace,Fantasy,['m'],3,0,0,1.0,0.0,0.0,0,0,0,0
63,Moon,Drama,"['u', 'f', 'f']",1,116,379,0.2,0.6,0.2,2,41,1,1
64,TRON,Fantasy,"['m', 'm', 'f']",211,29,0,0.8,0.2,0.0,0,0,0,0
65,Ginger-Snaps,Thriller,"['u', 'f', 'u']",66,281,286,0.45454545454545453,0.2727272727272727,0.2727272727272727,5,67,4,7
66,"Island,-The",Thriller,"['m', 'm', 'f']",355,105,0,0.5,0.5,0.0,0,0,0,0
67,Alien,Action,"['f', 'm', 'm']",111,201,2,0.5,0.16666666666666666,0.3333333333333333,0,0,0,0
